[Mon Mar 05 14:49:44.332699 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332706 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  40. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332713 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  41. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332719 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  42. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332726 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  43. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332733 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332740 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  45. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332747 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  46. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332753 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  47. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332760 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  48. App\\Http\\Middleware\\ReporterMiddleware->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332767 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  49. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/app/Http/Middleware/ReporterMiddleware.php:22, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332773 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  50. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332780 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  51. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332791 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  52. Illuminate\\Routing\\Route->run() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332798 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  53. Illuminate\\Routing\\Route->runController() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Route.php:140, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332805 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  54. Illuminate\\Routing\\ControllerDispatcher->dispatch() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Route.php:174, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332812 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  55. Illuminate\\Routing\\ControllerDispatcher->callWithinStack() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:54, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332819 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  56. Illuminate\\Pipeline\\Pipeline->then() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:96, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332826 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  57. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332832 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  58. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332838 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  59. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332845 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  60. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332852 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  61. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332859 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  62. App\\Http\\Middleware\\Authenticate->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332866 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  63. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/app/Http/Middleware/Authenticate.php:28, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332872 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  64. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332882 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  65. Illuminate\\Routing\\ControllerDispatcher->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332890 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  66. Illuminate\\Routing\\Router->prepareResponse() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:95, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332897 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  67. Symfony\\Component\\HttpFoundation\\Response->__construct() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1085, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332904 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  68. Illuminate\\Http\\Response->setContent() /home/apoorva/html/laravel/sec-report/vendor/symfony/http-foundation/Response.php:201, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332911 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  69. Illuminate\\View\\View->render() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Http/Response.php:53, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332918 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  70. Illuminate\\View\\View->renderContents() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/View/View.php:85, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332925 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  71. Illuminate\\View\\View->getContents() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/View/View.php:120, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332932 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  72. Illuminate\\View\\Engines\\CompilerEngine->get() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/View/View.php:149, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332939 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  73. Illuminate\\View\\Engines\\PhpEngine->evaluatePath() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:59, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
